Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,746.1,743.2,741.2,744.8,751.7,754.9,757.6,759.1,759.2,759.2,761,760.1,740.8,729.3,719.7,708.5,695.8,681.7,669.3,655.1,643.2,633.5,622.8,615.1,609.2,604.5,597.6,591.7,587.7,583.9,574
Albania,428.5,423.6,396.7,372,344.2,355.3,375.4,376.9,368.8,365.2,368.4,357.9,368.5,384.1,381.3,371.8,352,327.8,329.9,326.2,329.8,331.5,338.6,347.7,356.2,360.7,365.5,367.8,359.5,352.4,345.8
Algeria,570,541.5,532.2,524.4,515.3,509.7,503.1,496.7,486,486.2,483,478.6,471.2,472.3,466.1,459.8,454.5,449,445.2,439.8,441.3,438.8,430.6,425.4,421.4,418.3,407.9,403.7,404.9,403,397.3
American Samoa,369.6,368.5,368.4,368.1,367.2,365.5,364.2,363.3,361.3,362.7,357.5,354.3,349.5,344.9,339.4,338,339.1,338.9,340.7,343.9,344.1,343,342.3,342.4,342.3,342.5,342.9,342,340.1,338.5,356.4
Andorra,167.5,165.7,165.5,164.4,162.6,159.6,157.3,154.1,151.4,148.5,146.2,136.7,129.5,125.5,122.4,117.8,115.6,111.9,114,115.9,118.1,117.5,115.2,114.8,114.3,113.1,112.3,111,109.6,106.4,88.3
Angola,435.9,433.4,431.6,434.7,437,434.4,425.4,420.8,423.2,422.9,420.1,410.6,403.4,400.2,400.9,390.4,387.2,379.2,378.7,375.4,371,367.5,363.9,359.4,349.3,348.6,349.1,352,355.5,360,363.9
Antigua and Barbuda,313.1,320.8,323.3,347.9,349.2,355,323.6,312.6,303.2,291.9,273.2,263.3,256.3,253.5,248,246.1,243.1,262.9,257.9,250.3,247.9,245.3,243.1,243.4,243.8,238.8,237.5,242.3,240.7,240.6,227.7
Argentina,335.8,321.1,316.2,303.6,284.6,278.2,268.9,259.6,258.2,255.4,239.2,234.2,234,230.5,218.9,209.6,205.8,206.2,197.1,193.6,195.1,192.4,187.9,183.3,179.1,180.8,186.4,179.7,175,171.7,164.3
Armenia,469,501.1,564.2,600.5,573.4,560.7,555.4,526.2,514.6,515.8,502.1,497.1,490.4,489.5,478.5,459.9,445.2,428.7,426.7,418.4,407.8,390.2,372.8,356,352.6,347.1,345.1,337.1,330.7,323.9,322.5
Australia,277.1,262.2,256.9,247.7,243.9,234.8,226,213.9,204.5,194.5,184,175.2,169.1,160.9,152.5,144.8,139.5,137.9,136.3,130.3,125.4,120.2,114,110.2,108.8,106.6,101.3,97,92.8,93.7,87.3
Austria,326.9,324.7,319.6,314.4,306.6,300.4,298.9,291.9,286.2,274.1,254.2,241.4,232.9,220.9,206,195.9,190.4,187.8,183.3,181.8,174,168.6,165.8,163.1,157.9,155.5,149.8,145,143.9,139,138.6
Azerbaijan,539.6,547.7,576.7,594.8,604.7,601.2,582.5,560.2,549.4,545.1,544,531.9,543.6,562.3,570.3,584.2,579.8,571.9,569.9,564.9,563.3,557.5,563,561.5,562.4,553.6,552,549.3,507.6,489.7,474.6
