Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,5040,4790,4644,4659,4728,4729,4689,4607,4514,4446,4398,4341,4202,4261,4263,4178,4035,3827,3601,3413,3312,3453,3870,4424,4895,5093,5079,5018,4908,4772,3822,4502
Albania,828,803,745,699,650,673,728,759,780,810,860,896,995,1117,1199,1253,1272,1280,1384,1460,1564,1659,1766,1876,1980,2052,2078,2038,1946,1913,1916,1927
Algeria,10562,10901,11325,11786,12271,12727,13254,13902,14441,15166,15507,15615,15586,15605,15590,15598,15609,15541,15502,15586,15912,16442,17131,17951,18868,19580,19938,20253,20753,21237,22354,21558
American Samoa,4,5,5,5,5,5,5,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,9,9,10,9
Andorra,16,17,18,19,20,20,21,22,23,24,25,23,23,22,22,21,21,20,21,22,22,20,19,19,19,18,18,16,15,14,12,13
Angola,2470,2449,2441,2477,2523,2562,2595,2682,2820,2955,3071,3155,3226,3326,3505,3616,3870,4184,4590,5011,5425,5869,6392,6879,7200,7486,7622,7784,7929,8136,8320,8251
Antigua and Barbuda,33,35,35,39,38,38,36,35,35,34,33,32,31,31,31,31,31,34,34,33,33,33,34,35,37,37,38,38,38,39,38,38
Argentina,18287,18228,18557,18562,18146,18530,18537,18493,18943,19090,18170,18075,18207,18296,17611,16948,16517,16549,15516,15239,15517,15845,16113,16659,17013,17737,18656,18143,17849,17816,17182,15268
Armenia,2418,2453,2602,2634,2428,2330,2278,2125,2041,2045,2028,2109,2260,2476,2657,2856,3121,3373,3726,3961,4102,4236,4329,4369,4501,4594,4551,4330,4152,4019,3863,3984
Australia,3051,2937,2929,2866,2887,2852,2876,2867,2809,2769,2731,2658,2588,2465,2347,2275,2308,2440,2565,2620,2647,2629,2543,2458,2464,2482,2733,3293,3791,4204,3214,4247
Austria,7963,8095,8034,7908,7754,7704,7643,7379,7128,6820,6415,6125,5994,5861,5616,5490,5305,5128,4920,4818,4606,4429,4306,4161,3986,3895,3685,3513,3373,3097,2926,2922
Azerbaijan,4546,4631,4802,4855,4809,4640,4319,3882,3519,3262,3159,3166,3387,3741,4097,4528,5034,5736,6624,7399,7960,8326,8738,9023,9241,9263,9282,9140,8416,8099,7767,7598
