Reference area,1990,1995,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Australia,7.17,7.01,7.15,7.29,7.36,7.67,6.81,6.80,7.37,7.04,6.92,7.65,7.30,7.18,7.39,7.30,7.26,7.06,7.09,7.29,7.59,9.17,8.11
Austria,22.75,22.23,19.09,18.02,18.45,18.96,16.61,18.12,18.55,16.04,15.19,16.47,15.91,16.30,14.65,14.59,12.89,13.53,12.47,12.10,12.54,11.42,10.89
Belgium,21.95,21.27,19.33,17.86,17.83,20.11,17.79,17.29,19.10,17.10,16.31,16.57,16.80,16.20,15.05,14.22,12.77,13.20,12.26,12.63,12.35,11.10,11.09
Canada,10.00,9.83,9.48,9.63,9.43,9.53,8.73,9.28,8.86,8.55,8.27,7.37,7.55,7.15,7.35,7.03,7.15,6.89,6.21,6.82,6.87,6.02,6.35
Chile,27.31,27.39,28.13,27.95,27.83,27.97,26.77,26.32,26.71,26.52,25.36,23.57,22.22,23.06,22.09,23.97,23.24,24.47,24.44,23.51,23.07,22.71,23.16
Colombia,25.20,24.63,24.74,21.36,21.87,22.83,20.77,20.65,22.11,21.49,20.00,17.72,18.74,20.15,17.82,18.56,17.96,17.25,16.99,16.92,15.70,14.19,13.88
Costa Rica,19.88,19.60,21.09,20.41,20.73,20.84,19.23,19.85,20.97,20.93,18.89,17.56,17.39,19.22,17.73,18.30,17.31,17.43,16.71,16.97,14.90,13.22,14.14
Czechia,24.74,23.54,20.37,21.03,23.33,24.20,20.87,22.22,23.17,18.41,18.25,19.27,20.81,20.92,19.20,18.85,18.29,17.75,16.93,16.89,17.30,14.20,14.07
Denmark,16.39,15.23,15.34,13.02,14.19,15.71,13.00,13.84,14.73,13.71,11.67,11.97,12.82,13.07,10.60,10.20,10.59,10.03,9.06,9.90,10.14,9.41,8.89
Estonia,13.00,12.36,11.49,10.99,12.25,10.40,9.58,9.37,9.27,8.20,8.05,8.12,8.91,8.11,7.84,7.94,8.59,7.09,6.80,6.09,7.72,6.81,6.13
Finland,8.81,8.45,8.10,7.47,7.49,8.03,7.28,7.60,8.39,7.24,6.89,6.93,7.03,6.92,6.26,5.89,6.15,5.65,5.30,5.15,5.52,5.40,4.92
France,16.99,16.42,15.76,15.15,14.78,16.42,14.24,14.57,15.38,14.62,13.41,13.77,13.47,13.48,12.30,12.20,10.52,11.16,10.37,10.33,10.34,9.72,9.49
Germany,21.77,20.45,18.14,17.06,17.69,18.37,16.22,16.55,17.35,16.02,15.11,15.22,16.18,15.71,13.90,13.65,12.28,12.82,11.78,11.90,11.66,10.65,10.30
Greece,21.98,22.26,23.95,22.29,23.07,24.30,21.35,22.11,22.81,22.06,21.31,20.51,19.96,21.00,18.49,17.67,16.58,16.99,15.53,15.43,15.35,14.72,14.18
Hungary,24.25,23.80,20.62,20.44,23.21,24.47,20.97,21.87,23.25,18.46,18.25,19.07,20.34,21.17,18.82,17.75,17.83,17.86,16.13,16.90,17.37,14.54,14.03
Iceland,7.51,7.39,8.04,7.64,8.13,8.58,8.00,7.72,7.89,7.54,7.41,7.36,7.04,7.23,6.60,6.45,6.25,6.18,5.69,6.31,6.00,5.95,5.48
Ireland,13.08,12.74,12.29,11.40,11.62,13.96,10.63,11.61,11.84,11.67,10.66,10.47,10.15,10.33,9.41,9.02,8.69,8.65,7.96,8.24,8.15,7.74,8.00
Israel,21.70,24.98,24.84,24.28,24.89,26.91,25.07,24.47,25.82,25.14,24.06,23.55,24.19,24.05,21.80,22.34,21.03,21.95,18.72,19.86,20.45,19.49,18.62
Italy,26.92,26.21,25.46,22.05,23.25,24.73,22.09,22.65,22.76,21.53,20.22,20.52,19.57,20.70,18.22,17.53,16.43,17.27,15.29,15.56,15.92,14.53,14.31
Japan,12.57,12.42,12.76,12.46,12.35,12.08,12.02,12.17,12.26,12.15,12.33,11.53,10.84,12.26,12.76,13.22,13.73,12.85,12.77,13.05,12.95,12.77,12.62
Korea,24.39,23.87,24.56,24.17,24.23,24.08,23.71,24.03,24.26,24.22,24.30,23.40,21.62,24.66,25.26,27.19,28.14,26.06,26.42,25.68,25.54,25.50,25.30
Latvia,27.81,25.95,22.88,21.08,24.58,21.32,18.21,18.56,18.28,16.13,15.79,16.23,18.11,15.88,15.29,15.75,16.45,13.97,12.89,11.92,14.55,12.79,11.80
Lithuania,21.34,20.15,17.96,16.99,19.08,16.57,14.35,14.41,14.19,12.98,12.33,12.53,13.84,12.32,12.38,12.42,12.78,11.33,10.26,9.83,11.11,10.28,9.23
Luxembourg,16.74,15.94,14.23,13.63,13.68,14.96,13.29,13.51,14.16,13.09,12.34,12.41,13.00,12.70,11.36,11.70,9.98,10.38,9.60,9.59,9.29,8.47,8.67
Mexico,30.95,30.56,29.60,24.04,24.70,24.90,22.14,22.46,23.30,22.81,20.97,19.65,18.93,21.60,19.37,20.10,18.92,18.73,18.14,17.58,16.01,14.12,14.44
Netherlands,21.42,20.63,18.99,17.20,17.87,19.46,17.50,17.20,18.09,16.80,15.85,15.55,16.16,16.02,14.24,13.19,12.51,13.01,11.86,12.60,11.97,11.27,10.79
New Zealand,6.45,6.37,6.60,6.68,6.46,6.39,6.31,6.34,6.29,6.36,6.42,6.61,6.83,6.61,6.64,6.64,6.46,6.45,6.50,6.69,7.06,7.27,6.35
Norway,11.06,10.42,10.52,9.14,9.42,10.20,8.76,8.65,10.01,8.56,8.24,8.44,7.88,8.70,7.34,7.06,7.11,6.78,6.25,6.54,6.71,6.39,6.06
Poland,30.19,29.22,25.58,25.55,29.64,30.36,26.33,27.54,29.69,24.14,23.16,24.26,26.75,26.34,23.94,23.01,23.27,22.25,21.09,22.10,22.26,18.64,17.84
Portugal,12.82,12.86,13.63,13.06,13.02,13.87,12.35,12.65,13.25,12.66,10.97,11.03,10.54,11.24,9.87,9.56,9.28,9.45,8.64,9.08,8.84,7.85,8.29
Slovak Republic,25.03,24.58,21.22,21.54,24.40,25.44,22.08,23.18,24.54,19.66,19.38,20.23,21.30,22.37,20.18,19.43,19.12,19.04,17.74,18.04,18.53,15.72,15.27
